Territorio,Età,Sesso,Causa iniziale di morte - European Short List
Centro,30-34 anni,femmine,"di cui tumori maligni del colon, del retto e dell'ano"
Centro,70-74 anni,totale,"ulcera dello stomaco, duodeno e digiuno"
Centro,0 anni,totale,altre malattie del sistema circolatorio
Centro,0 anni,totale,"malattie endocrine, nutrizionali e metaboliche"
Centro,totale,femmine,malformazioni congenite ed anomalie cromosomiche
Centro,75-79 anni,femmine,malattie del sistema circolatorio
Centro,60-64 anni,maschi,"altre malattie endocrine, nutrizionali e metaboliche"
Centro,30-34 anni,maschi,di cui tumori maligni del fegato e dei dotti biliari intraepatici
Centro,70-74 anni,femmine,malattie dell'apparato digerente
Centro,55-59 anni,totale,altre malattie del sistema respiratorio
Centro,65-69 anni,femmine,alcune malattie infettive e parassitarie
Centro,45-49 anni,maschi,diabete mellito
Centro,50-54 anni,femmine,altre malattie dell'apparato digerente
Centro,90-94 anni,femmine,di cui tumori maligni dello stomaco
Centro,totale,totale,alcune condizioni morbose che hanno origine nel periodo perinatale
Centro,90-94 anni,femmine,di cui altre malattie croniche delle basse vie respiratorie
Centro,50-54 anni,maschi,malattie del sistema respiratorio
Centro,1-4 anni,maschi,"sintomi, segni, risultati anomali e cause mal definite"
Centro,totale,femmine,di cui tumori maligni del seno
Centro,20-24 anni,maschi,diabete mellito
Centro,60-64 anni,maschi,malattie dell'apparato digerente
Centro,35-39 anni,totale,aids (malattia da hiv)
Centro,65-69 anni,totale,tumori
Centro,85-89 anni,femmine,diabete mellito
Centro,totale,femmine,cause esterne di traumatismo e avvelenamento
Centro,30-34 anni,totale,malattie cerebrovascolari
Centro,50-54 anni,totale,abuso di alcool (compresa psicosi alcolica)
Centro,85-89 anni,totale,malattie del sistema osteomuscolare e del tessuto connettivo
Centro,75-79 anni,totale,malformazioni congenite ed anomalie cromosomiche
Centro,55-59 anni,femmine,"sintomi, segni, risultati anomali e cause mal definite"
Centro,60-64 anni,femmine,altre malattie del sistema respiratorio
Centro,45-49 anni,maschi,"di cui tumori maligni del colon, del retto e dell'ano"
Centro,85-89 anni,totale,malattie del sistema nervoso e degli organi di senso
Centro,90-94 anni,totale,di cui altri tumori maligni del tessuto linfatico/ematopoietico
Centro,95 anni e più,femmine,"ulcera dello stomaco, duodeno e digiuno"
Centro,totale,totale,artrite reumatoide a osteoartrosi
Centro,70-74 anni,femmine,tubercolosi
Centro,85-89 anni,maschi,abuso di alcool (compresa psicosi alcolica)
Centro,75-79 anni,femmine,demenza
Centro,90-94 anni,femmine,di cui tumori maligni del seno
Centro,75-79 anni,totale,malattie del sangue e degli organi ematopoietici ed alcuni disturbi del sistema immunitario
Centro,80-84 anni,femmine,malattie ischemiche del cuore
Centro,65-69 anni,femmine,malattie del sistema osteomuscolare e del tessuto connettivo
Centro,55-59 anni,totale,malformazioni congenite ed anomalie cromosomiche
Centro,totale,femmine,disturbi psichici e comportamentali
Centro,40-44 anni,totale,influenza
Centro,60-64 anni,maschi,malattie cerebrovascolari
Centro,85-89 anni,totale,altre malattie del sistema nervoso e degli organi di senso
Centro,1-4 anni,femmine,polmonite
Centro,75-79 anni,femmine,altre malattie del sistema respiratorio
Centro,70-74 anni,femmine,"di cui tumori maligni della trachea, dei bronchi e dei polmoni"
Centro,65-69 anni,totale,"Covid-19, virus non identificato"
Centro,60-64 anni,femmine,epatite virale
Centro,85-89 anni,totale,malattie ischemiche del cuore
Centro,95 anni e più,femmine,altre malattie del sistema nervoso e degli organi di senso
Centro,45-49 anni,totale,malattie del rene e dell'uretere
Centro,40-44 anni,totale,tumori maligni
Centro,85-89 anni,totale,di cui tumori maligni del fegato e dei dotti biliari intraepatici
Centro,65-69 anni,totale,di cui tumori maligni della vescica
Centro,25-29 anni,totale,malattie dell'apparato genitourinario
Centro,80-84 anni,maschi,altre malattie del sistema respiratorio
Centro,65-69 anni,femmine,malformazioni congenite ed anomalie cromosomiche
Centro,5-9 anni,maschi,malattie del sangue e degli organi ematopoietici ed alcuni disturbi del sistema immunitario
Centro,90-94 anni,maschi,"cirrosi, fibrosi ed epatite cronica"
Centro,85-89 anni,maschi,altre malattie dell'apparato genitourinario
Centro,15-19 anni,maschi,altre malattie del cuore
Centro,70-74 anni,maschi,malattie del sangue e degli organi ematopoietici ed alcuni disturbi del sistema immunitario
Centro,85-89 anni,totale,di cui accidenti di trasporto
Centro,70-74 anni,totale,cause esterne di traumatismo e avvelenamento
Centro,80-84 anni,maschi,Covid-19
Centro,totale,femmine,altre malattie del cuore
Centro,1-4 anni,maschi,tumori
Centro,85-89 anni,femmine,altre malattie infettive e parassitarie
Centro,45-49 anni,femmine,"dipendenza da droghe, tossicomania"
Centro,85-89 anni,maschi,altre malattie del sistema nervoso e degli organi di senso
Centro,40-44 anni,totale,tubercolosi
Centro,75-79 anni,totale,epatite virale
Centro,70-74 anni,maschi,morbo di parkinson
Centro,70-74 anni,maschi,"malattie endocrine, nutrizionali e metaboliche"
Centro,25-29 anni,maschi,tumori
Centro,0 anni,femmine,"altre malattie endocrine, nutrizionali e metaboliche"
Centro,40-44 anni,femmine,malattie cerebrovascolari
Centro,50-54 anni,femmine,di cui tumori maligni della laringe
Centro,40-44 anni,totale,altre malattie del sistema circolatorio
Centro,85-89 anni,femmine,du cui altre malattie ischemiche del cuore
Centro,50-54 anni,totale,"di cui tumori maligni del colon, del retto e dell'ano"
Centro,70-74 anni,totale,malattie del sistema respiratorio
Centro,45-49 anni,totale,tumori non maligni (benigni e di comportamento incerto)
Centro,50-54 anni,maschi,malattia di alzheimer
Centro,85-89 anni,femmine,di cui morbo di hodgkin e linfomi
Centro,75-79 anni,totale,altre malattie infettive e parassitarie
Centro,35-39 anni,femmine,altre malattie del cuore
Centro,85-89 anni,totale,"altre malattie endocrine, nutrizionali e metaboliche"
Centro,60-64 anni,femmine,artrite reumatoide a osteoartrosi
Centro,80-84 anni,totale,di cui accidenti di trasporto
Centro,75-79 anni,totale,di cui altre malattie croniche delle basse vie respiratorie
Centro,85-89 anni,maschi,di cui tumori maligni dell'esofago
Centro,75-79 anni,maschi,morbo di parkinson
Centro,60-64 anni,totale,"di cui tumori maligni delle labbra, cavità orale e faringe"
Centro,10-14 anni,totale,tumori
Centro,60-64 anni,totale,di cui tumori maligni della tiroide
Centro,75-79 anni,totale,diabete mellito
Centro,65-69 anni,femmine,cause sconosciute e non specificate
Centro,50-54 anni,totale,di cui altri accidenti
Centro,80-84 anni,maschi,di cui tumori maligni della prostata
Centro,80-84 anni,totale,tumori non maligni (benigni e di comportamento incerto)
Centro,85-89 anni,femmine,malformazioni congenite ed anomalie cromosomiche
Centro,85-89 anni,maschi,di cui altri tumori maligni del tessuto linfatico/ematopoietico
Centro,20-24 anni,femmine,di cui avvelenamento accidentale
Centro,45-49 anni,totale,malattie croniche delle basse vie respiratorie
Centro,20-24 anni,femmine,altre malattie del sistema nervoso e degli organi di senso
Centro,10-14 anni,totale,altre malattie del cuore
Centro,25-29 anni,totale,alcune malattie infettive e parassitarie
Centro,85-89 anni,maschi,altre malattie del sistema respiratorio
Centro,55-59 anni,totale,di cui infarto miocardico acuto
Centro,60-64 anni,totale,"altre malattie endocrine, nutrizionali e metaboliche"
Centro,90-94 anni,totale,altri disturbi psichici e comportamentali
Centro,95 anni e più,maschi,diabete mellito
Centro,65-69 anni,femmine,di cui cadute accidentali
Centro,25-29 anni,totale,altre malattie del sistema nervoso e degli organi di senso
Centro,80-84 anni,totale,altre malattie del sistema respiratorio
Centro,55-59 anni,totale,malattie della cute e del tessuto sottocutaneo
Centro,totale,femmine,"malattie endocrine, nutrizionali e metaboliche"
Centro,1-4 anni,maschi,tumori maligni
Centro,20-24 anni,maschi,suicidio e autolesione intenzionale
Centro,1-4 anni,totale,altre malattie del sistema circolatorio
Centro,50-54 anni,femmine,di cui tumori maligni dell'esofago
Centro,95 anni e più,totale,di cui tumori maligni del seno
Centro,25-29 anni,totale,malformazioni congenite ed anomalie cromosomiche
Centro,75-79 anni,femmine,influenza
Centro,80-84 anni,femmine,di cui tumori maligni dell'esofago
Centro,totale,femmine,"di cui tumori maligni del colon, del retto e dell'ano"
Centro,45-49 anni,totale,alcune condizioni morbose che hanno origine nel periodo perinatale
Centro,50-54 anni,totale,di cui tumori maligni della prostata
Centro,15-19 anni,totale,malformazioni congenite ed anomalie cromosomiche
Centro,0 anni,femmine,malattie cerebrovascolari
Centro,95 anni e più,femmine,aids (malattia da hiv)
Centro,totale,totale,altre cause esterne di traumatismo e avvelenamento
Centro,70-74 anni,totale,malattie cerebrovascolari
Centro,55-59 anni,totale,di cui tumori maligni dello stomaco
Centro,20-24 anni,maschi,malattie dell'apparato digerente
Centro,60-64 anni,femmine,di cui tumori maligni del seno
Centro,70-74 anni,maschi,diabete mellito
Centro,50-54 anni,femmine,malattie del sistema osteomuscolare e del tessuto connettivo
Centro,55-59 anni,maschi,di cui altri tumori maligni del tessuto linfatico/ematopoietico
Centro,20-24 anni,maschi,Covid-19
Centro,70-74 anni,maschi,polmonite
Centro,65-69 anni,femmine,di cui tumori maligni di altre parti dell'utero
Centro,45-49 anni,totale,polmonite
Centro,45-49 anni,totale,malattie del sangue e degli organi ematopoietici ed alcuni disturbi del sistema immunitario
Centro,65-69 anni,totale,tumori non maligni (benigni e di comportamento incerto)
Centro,60-64 anni,totale,di cui tumori maligni della cervice uterina
Centro,0 anni,femmine,malattie del rene e dell'uretere
Centro,90-94 anni,maschi,tumori maligni
Centro,65-69 anni,femmine,malattie della cute e del tessuto sottocutaneo
Centro,45-49 anni,femmine,alcune condizioni morbose che hanno origine nel periodo perinatale
Centro,85-89 anni,maschi,"Covid-19, virus identificato"
Centro,70-74 anni,femmine,di cui annegamento e sommersione accidentali
Centro,70-74 anni,maschi,malattie ischemiche del cuore
Centro,90-94 anni,maschi,suicidio e autolesione intenzionale
Centro,80-84 anni,totale,malattie della cute e del tessuto sottocutaneo
Centro,90-94 anni,totale,malattia di alzheimer
Centro,25-29 anni,maschi,di cui altri accidenti
Centro,60-64 anni,totale,di cui leucemia
Centro,60-64 anni,femmine,di cui tumori maligni di altre parti dell'utero
Centro,40-44 anni,totale,"cirrosi, fibrosi ed epatite cronica"
Centro,95 anni e più,maschi,tumori
Centro,50-54 anni,totale,di cui tumori maligni di altre parti dell'utero
Centro,totale,femmine,diabete mellito
Centro,95 anni e più,femmine,totale
Centro,1-4 anni,totale,malformazioni congenite ed anomalie cromosomiche
Centro,15-19 anni,totale,totale
Centro,60-64 anni,maschi,di cui tumori maligni della tiroide
Centro,95 anni e più,femmine,cause esterne di traumatismo e avvelenamento
Centro,10-14 anni,maschi,tumori
Centro,70-74 anni,maschi,disturbi psichici e comportamentali
Centro,45-49 anni,totale,tumori
Centro,45-49 anni,femmine,di cui tumori maligni del fegato e dei dotti biliari intraepatici
Centro,80-84 anni,femmine,malattie della cute e del tessuto sottocutaneo
Centro,60-64 anni,femmine,altre malattie dell'apparato digerente
Centro,75-79 anni,totale,altre malattie del cuore
Centro,85-89 anni,totale,di cui altre malattie croniche delle basse vie respiratorie
Centro,totale,femmine,altre malattie del sistema osteomuscolare e del tessuto connettivo
Centro,1-4 anni,totale,malattie del sistema nervoso e degli organi di senso
Centro,1-4 anni,femmine,tumori
Centro,totale,totale,"complicazioni della gravidanza, del parto e del puerperio"
Centro,75-79 anni,femmine,malattie del sangue e degli organi ematopoietici ed alcuni disturbi del sistema immunitario
Centro,65-69 anni,femmine,di cui asma
Centro,30-34 anni,maschi,accidenti
Centro,45-49 anni,femmine,tumori non maligni (benigni e di comportamento incerto)
Centro,80-84 anni,maschi,di cui tumori maligni del cervello e del sistema nervoso centrale
Centro,5-9 anni,totale,malformazioni congenite ed anomalie cromosomiche
Centro,35-39 anni,femmine,di cui tumori maligni di altre parti dell'utero
Centro,65-69 anni,maschi,altre malattie dell'apparato genitourinario
Centro,55-59 anni,femmine,malattie dell'apparato digerente
Centro,80-84 anni,femmine,diabete mellito
Centro,45-49 anni,totale,di cui altri accidenti
Centro,35-39 anni,maschi,tumori maligni
Centro,75-79 anni,femmine,di cui cadute accidentali
Centro,35-39 anni,femmine,di cui cadute accidentali
Centro,totale,totale,di cui annegamento e sommersione accidentali
Centro,90-94 anni,femmine,altre malattie del sistema circolatorio
Centro,70-74 anni,femmine,"di cui tumori maligni delle labbra, cavità orale e faringe"
Centro,45-49 anni,totale,malattie del sistema osteomuscolare e del tessuto connettivo
Centro,40-44 anni,femmine,di cui tumori maligni del cervello e del sistema nervoso centrale
Centro,95 anni e più,maschi,malattie del sistema nervoso e degli organi di senso
Centro,40-44 anni,femmine,di cui asma
Centro,45-49 anni,totale,"omicidio, aggressione"
Centro,35-39 anni,femmine,malattie del sistema osteomuscolare e del tessuto connettivo
Centro,95 anni e più,totale,cause sconosciute e non specificate
Centro,80-84 anni,totale,di cui tumori maligni della cervice uterina
Centro,totale,maschi,"cirrosi, fibrosi ed epatite cronica"
Centro,75-79 anni,femmine,"di cui tumori maligni delle labbra, cavità orale e faringe"
Centro,95 anni e più,totale,alcune malattie infettive e parassitarie
Centro,85-89 anni,femmine,cause sconosciute e non specificate
Centro,90-94 anni,totale,malattie del sistema respiratorio
Centro,75-79 anni,totale,"di cui tumori maligni delle labbra, cavità orale e faringe"
Centro,60-64 anni,femmine,diabete mellito
Centro,40-44 anni,femmine,malformazioni congenite ed anomalie cromosomiche
Centro,55-59 anni,maschi,malattie del sistema osteomuscolare e del tessuto connettivo
Centro,40-44 anni,femmine,di cui tumori maligni della cervice uterina
Centro,30-34 anni,maschi,di cui tumori maligni dello stomaco
Centro,80-84 anni,totale,di cui morbo di hodgkin e linfomi
Centro,0 anni,femmine,"malattie endocrine, nutrizionali e metaboliche"
Centro,65-69 anni,femmine,tumori maligni
Centro,65-69 anni,totale,malattie dell'apparato genitourinario
Centro,15-19 anni,maschi,altre malattie del sistema circolatorio
Centro,65-69 anni,totale,di cui asma
Centro,totale,femmine,malattie del sangue e degli organi ematopoietici ed alcuni disturbi del sistema immunitario
Centro,85-89 anni,femmine,di cui cadute accidentali
Centro,50-54 anni,femmine,altre cause esterne di traumatismo e avvelenamento
Centro,40-44 anni,maschi,malattie croniche delle basse vie respiratorie
Centro,totale,maschi,altre malattie dell'apparato digerente
Centro,65-69 anni,femmine,malattie ischemiche del cuore
Centro,30-34 anni,femmine,malattie dell'apparato digerente
Centro,60-64 anni,femmine,malattie ischemiche del cuore
Centro,95 anni e più,maschi,"di cui tumori maligni della trachea, dei bronchi e dei polmoni"
Centro,45-49 anni,totale,altre malattie del sistema respiratorio
Centro,55-59 anni,femmine,di cui cadute accidentali
Centro,35-39 anni,totale,altre malattie infettive e parassitarie
Centro,95 anni e più,maschi,malattie cerebrovascolari
Centro,55-59 anni,maschi,di cui asma
Centro,95 anni e più,femmine,artrite reumatoide a osteoartrosi
Centro,95 anni e più,femmine,di cui altre malattie croniche delle basse vie respiratorie
Centro,70-74 anni,totale,alcune condizioni morbose che hanno origine nel periodo perinatale
Centro,95 anni e più,femmine,altre malattie dell'apparato genitourinario
Centro,20-24 anni,femmine,di cui leucemia
Centro,45-49 anni,maschi,di cui tumori maligni del rene
Centro,60-64 anni,femmine,di cui altri accidenti
Centro,60-64 anni,femmine,di cui tumori maligni della vescica
Centro,85-89 anni,femmine,"altre malattie endocrine, nutrizionali e metaboliche"
Centro,totale,totale,diabete mellito
Centro,totale,maschi,tumori
Centro,35-39 anni,maschi,malattie del sangue e degli organi ematopoietici ed alcuni disturbi del sistema immunitario
Centro,40-44 anni,maschi,altre malattie infettive e parassitarie
Centro,45-49 anni,maschi,"altre malattie endocrine, nutrizionali e metaboliche"
Centro,65-69 anni,maschi,di cui tumori maligni dell'esofago
Centro,65-69 anni,femmine,aids (malattia da hiv)
Centro,totale,totale,aids (malattia da hiv)
Centro,65-69 anni,femmine,altre malattie del sistema circolatorio
Centro,85-89 anni,totale,di cui altri accidenti
Centro,75-79 anni,femmine,malattie del sistema osteomuscolare e del tessuto connettivo
Centro,75-79 anni,totale,artrite reumatoide a osteoartrosi
Centro,non indicato,totale,"sintomi, segni, risultati anomali e cause mal definite"
Centro,15-19 anni,maschi,malattie del sistema respiratorio
Centro,65-69 anni,maschi,di cui annegamento e sommersione accidentali
Centro,85-89 anni,femmine,altre malattie del sistema osteomuscolare e del tessuto connettivo
Centro,75-79 anni,maschi,abuso di alcool (compresa psicosi alcolica)
Centro,60-64 anni,maschi,di cui accidenti di trasporto
Centro,80-84 anni,femmine,polmonite
Centro,30-34 anni,maschi,"altri sintomi, segni, risultati anomali e cause mal definite"
Centro,50-54 anni,maschi,malattie del sangue e degli organi ematopoietici ed alcuni disturbi del sistema immunitario
Centro,totale,maschi,di cui tumori maligni della tiroide
Centro,65-69 anni,maschi,"Covid-19, virus identificato"
Centro,75-79 anni,femmine,malattie del rene e dell'uretere
Centro,50-54 anni,femmine,"altri sintomi, segni, risultati anomali e cause mal definite"
Centro,50-54 anni,maschi,di cui tumori maligni dell'esofago
Centro,1-4 anni,maschi,malattie del sangue e degli organi ematopoietici ed alcuni disturbi del sistema immunitario
Centro,5-9 anni,femmine,tumori
Centro,20-24 anni,totale,di cui tumori maligni del pancreas
Centro,40-44 anni,maschi,di cui leucemia
Centro,1-4 anni,maschi,cause esterne di traumatismo e avvelenamento
Centro,30-34 anni,totale,altre malattie del sistema respiratorio
Centro,80-84 anni,maschi,totale
Centro,60-64 anni,maschi,disturbi psichici e comportamentali
Centro,80-84 anni,femmine,di cui tumori maligni dello stomaco
Centro,15-19 anni,femmine,malattie del sistema respiratorio
Centro,40-44 anni,femmine,"altre malattie endocrine, nutrizionali e metaboliche"
Centro,50-54 anni,femmine,altre malattie del sistema osteomuscolare e del tessuto connettivo
Centro,75-79 anni,totale,influenza
Centro,50-54 anni,totale,altre malattie infettive e parassitarie
Centro,75-79 anni,maschi,demenza
Centro,95 anni e più,totale,disturbi psichici e comportamentali
Centro,totale,maschi,alcune malattie infettive e parassitarie
Centro,70-74 anni,totale,demenza
Centro,50-54 anni,totale,malattie della cute e del tessuto sottocutaneo
Centro,15-19 anni,femmine,malattie del sistema circolatorio
Centro,60-64 anni,maschi,tumori maligni
Centro,80-84 anni,maschi,malattia di alzheimer
Centro,1-4 anni,maschi,"malattie endocrine, nutrizionali e metaboliche"
Centro,55-59 anni,totale,polmonite
Centro,50-54 anni,totale,malformazioni congenite ed anomalie cromosomiche
Centro,90-94 anni,femmine,tumori
Centro,75-79 anni,maschi,di cui melanomi maligni della cute
Centro,80-84 anni,maschi,malattie dell'apparato digerente
Centro,65-69 anni,totale,di cui tumori maligni della cervice uterina
Centro,85-89 anni,maschi,suicidio e autolesione intenzionale
Centro,55-59 anni,totale,di cui avvelenamento accidentale
Centro,40-44 anni,totale,di cui melanomi maligni della cute
Centro,45-49 anni,maschi,malattie croniche delle basse vie respiratorie
Centro,55-59 anni,maschi,malattie della cute e del tessuto sottocutaneo
Centro,90-94 anni,femmine,di cui tumori maligni della laringe
Centro,75-79 anni,totale,altre malattie del sistema respiratorio
Centro,95 anni e più,femmine,di cui tumori maligni dell'ovaio
Centro,20-24 anni,totale,Covid-19
Centro,45-49 anni,maschi,di cui tumori maligni del fegato e dei dotti biliari intraepatici
Centro,totale,totale,malattie ischemiche del cuore
Centro,40-44 anni,femmine,di cui cadute accidentali
Centro,50-54 anni,femmine,malattie del sistema respiratorio
Centro,60-64 anni,femmine,di cui tumori maligni dello stomaco
Centro,55-59 anni,maschi,di cui tumori maligni dell'esofago
Centro,1-4 anni,totale,tumori
Centro,85-89 anni,femmine,di cui tumori maligni del seno
Centro,50-54 anni,maschi,"di cui tumori maligni della trachea, dei bronchi e dei polmoni"
Centro,60-64 anni,maschi,tubercolosi
Centro,80-84 anni,totale,"omicidio, aggressione"
Centro,65-69 anni,femmine,abuso di alcool (compresa psicosi alcolica)
Centro,30-34 anni,totale,"Covid-19, virus identificato"
Centro,65-69 anni,totale,malattie ischemiche del cuore
Centro,45-49 anni,totale,"cirrosi, fibrosi ed epatite cronica"
Centro,65-69 anni,femmine,totale
Centro,non indicato,totale,malattie del sangue e degli organi ematopoietici ed alcuni disturbi del sistema immunitario
Centro,10-14 anni,maschi,di cui tumori maligni della tiroide
Centro,95 anni e più,totale,altre malattie del sistema nervoso e degli organi di senso
Centro,40-44 anni,maschi,tumori non maligni (benigni e di comportamento incerto)
Centro,40-44 anni,femmine,di cui altre malattie croniche delle basse vie respiratorie
Centro,70-74 anni,femmine,di cui tumori maligni dello stomaco
Centro,50-54 anni,maschi,suicidio e autolesione intenzionale
Centro,95 anni e più,femmine,di cui altri tumori maligni
Centro,20-24 anni,femmine,malformazioni congenite ed anomalie cromosomiche
Centro,90-94 anni,femmine,di cui tumori maligni di altre parti dell'utero
Centro,60-64 anni,totale,di cui tumori maligni della vescica
Centro,80-84 anni,maschi,polmonite
Centro,90-94 anni,maschi,altre malattie dell'apparato digerente
Centro,65-69 anni,maschi,di cui leucemia
Centro,65-69 anni,femmine,malattie del rene e dell'uretere
Centro,90-94 anni,femmine,"sintomi, segni, risultati anomali e cause mal definite"
Centro,70-74 anni,maschi,di cui altri tumori maligni del tessuto linfatico/ematopoietico
Centro,0 anni,totale,malattie del sistema circolatorio
Centro,75-79 anni,totale,malattie del sistema nervoso e degli organi di senso
Centro,95 anni e più,maschi,malattie del sistema osteomuscolare e del tessuto connettivo
Centro,45-49 anni,maschi,malformazioni congenite ed anomalie cromosomiche
Centro,30-34 anni,maschi,di cui cadute accidentali
Centro,60-64 anni,femmine,malattie del sistema nervoso e degli organi di senso
Centro,70-74 anni,totale,abuso di alcool (compresa psicosi alcolica)
Centro,non indicato,maschi,tumori non maligni (benigni e di comportamento incerto)
Centro,15-19 anni,femmine,di cui tumori maligni dell'esofago
Centro,75-79 anni,totale,demenza
Centro,90-94 anni,totale,totale
Centro,55-59 anni,femmine,di cui altri accidenti
Centro,totale,femmine,di cui leucemia
Centro,95 anni e più,maschi,"Covid-19, virus identificato"
Centro,50-54 anni,totale,di cui altri tumori maligni del tessuto linfatico/ematopoietico
Centro,80-84 anni,totale,"di cui tumori maligni del colon, del retto e dell'ano"
Centro,75-79 anni,femmine,di cui altri tumori maligni del tessuto linfatico/ematopoietico
Centro,70-74 anni,femmine,altre malattie del sistema circolatorio
Centro,45-49 anni,femmine,di cui infarto miocardico acuto
Centro,65-69 anni,totale,"Covid-19, virus identificato"
Centro,80-84 anni,maschi,tumori maligni
Centro,60-64 anni,femmine,cause esterne di traumatismo e avvelenamento
Centro,75-79 anni,femmine,"di cui tumori maligni della trachea, dei bronchi e dei polmoni"
Centro,0 anni,femmine,cause esterne di traumatismo e avvelenamento
Centro,90-94 anni,maschi,di cui cadute accidentali
Centro,40-44 anni,maschi,tubercolosi
Centro,85-89 anni,maschi,tumori
Centro,80-84 anni,femmine,malattie del rene e dell'uretere
Centro,85-89 anni,maschi,malattie del sistema respiratorio
Centro,totale,maschi,artrite reumatoide a osteoartrosi
Centro,1-4 anni,maschi,malattie del sistema respiratorio
Centro,55-59 anni,maschi,altre malattie dell'apparato digerente
Centro,90-94 anni,maschi,diabete mellito
Centro,75-79 anni,femmine,di cui leucemia
Centro,90-94 anni,maschi,di cui altre malattie croniche delle basse vie respiratorie
Centro,20-24 anni,totale,malattie del sistema nervoso e degli organi di senso
Centro,95 anni e più,femmine,malattie dell'apparato genitourinario
Centro,45-49 anni,totale,altre malattie del cuore
Centro,90-94 anni,maschi,di cui avvelenamento accidentale
Centro,85-89 anni,femmine,di cui tumori maligni del pancreas
Centro,75-79 anni,totale,tumori non maligni (benigni e di comportamento incerto)
Centro,60-64 anni,maschi,"Covid-19, virus non identificato"
Centro,30-34 anni,maschi,"dipendenza da droghe, tossicomania"
Centro,95 anni e più,totale,malattie del sistema circolatorio
Centro,30-34 anni,totale,di cui tumori maligni di altre parti dell'utero
Centro,0 anni,totale,di cui tumori maligni del cervello e del sistema nervoso centrale
Centro,55-59 anni,maschi,malformazioni congenite ed anomalie cromosomiche
Centro,25-29 anni,femmine,di cui annegamento e sommersione accidentali
Centro,40-44 anni,maschi,du cui altre malattie ischemiche del cuore
Centro,55-59 anni,femmine,malattie del sistema nervoso e degli organi di senso
Centro,55-59 anni,totale,accidenti
Centro,50-54 anni,maschi,aids (malattia da hiv)
Centro,65-69 anni,maschi,altre malattie infettive e parassitarie
Centro,60-64 anni,totale,malattie della cute e del tessuto sottocutaneo
Centro,85-89 anni,femmine,di cui tumori maligni dello stomaco
Centro,65-69 anni,femmine,di cui leucemia
Centro,80-84 anni,maschi,epatite virale
Centro,55-59 anni,totale,malattie dell'apparato genitourinario
Centro,85-89 anni,totale,di cui avvelenamento accidentale
Centro,15-19 anni,totale,cause esterne di traumatismo e avvelenamento
Centro,60-64 anni,femmine,polmonite
Centro,totale,femmine,"di cui tumori maligni della trachea, dei bronchi e dei polmoni"
Centro,60-64 anni,totale,altre malattie del sistema circolatorio
Centro,80-84 anni,totale,morbo di parkinson
Centro,10-14 anni,totale,malformazioni congenite ed anomalie cromosomiche
Centro,40-44 anni,totale,"omicidio, aggressione"
Centro,totale,femmine,malattie dell'apparato digerente
Centro,75-79 anni,femmine,di cui tumori maligni del seno
Centro,30-34 anni,maschi,malattie del sistema nervoso e degli organi di senso
Centro,50-54 anni,maschi,malattie del sistema nervoso e degli organi di senso
Centro,0 anni,totale,cause sconosciute e non specificate
Centro,totale,maschi,malattie croniche delle basse vie respiratorie
Centro,70-74 anni,totale,malattie del sistema nervoso e degli organi di senso
Centro,non indicato,maschi,malattie del sangue e degli organi ematopoietici ed alcuni disturbi del sistema immunitario
Centro,45-49 anni,femmine,di cui melanomi maligni della cute
Centro,95 anni e più,totale,influenza
Centro,65-69 anni,femmine,"di cui tumori maligni delle labbra, cavità orale e faringe"
Centro,20-24 anni,maschi,di cui tumori maligni dello stomaco
Centro,30-34 anni,femmine,malattie del sistema circolatorio
Centro,60-64 anni,femmine,du cui altre malattie ischemiche del cuore
Centro,85-89 anni,femmine,di cui altri accidenti
Centro,50-54 anni,femmine,tumori non maligni (benigni e di comportamento incerto)
Centro,65-69 anni,totale,di cui tumori maligni di altre parti dell'utero
Centro,65-69 anni,maschi,di cui melanomi maligni della cute
Centro,55-59 anni,totale,totale
Centro,85-89 anni,maschi,"omicidio, aggressione"
Centro,40-44 anni,femmine,"Covid-19, virus identificato"
Centro,45-49 anni,totale,malattie del sistema respiratorio
Centro,45-49 anni,femmine,"omicidio, aggressione"
Centro,5-9 anni,totale,altre malattie del cuore
Centro,65-69 anni,maschi,"altre malattie endocrine, nutrizionali e metaboliche"
Centro,70-74 anni,totale,di cui morbo di hodgkin e linfomi
Centro,40-44 anni,femmine,malattie croniche delle basse vie respiratorie
Centro,80-84 anni,totale,altre malattie del sistema nervoso e degli organi di senso
Centro,85-89 anni,maschi,du cui altre malattie ischemiche del cuore
Centro,45-49 anni,maschi,tumori
Centro,85-89 anni,femmine,di cui altri tumori maligni del tessuto linfatico/ematopoietico
Centro,0 anni,femmine,di cui accidenti di trasporto
Centro,65-69 anni,totale,abuso di alcool (compresa psicosi alcolica)
Centro,45-49 anni,totale,di cui morbo di hodgkin e linfomi
Centro,60-64 anni,femmine,di cui tumori maligni del fegato e dei dotti biliari intraepatici
Centro,60-64 anni,femmine,malattie del sistema osteomuscolare e del tessuto connettivo
Centro,25-29 anni,maschi,malattie del sistema respiratorio
Centro,40-44 anni,totale,alcune malattie infettive e parassitarie
Centro,85-89 anni,totale,totale
Centro,80-84 anni,totale,"cirrosi, fibrosi ed epatite cronica"
Centro,50-54 anni,totale,di cui tumori maligni del fegato e dei dotti biliari intraepatici
Centro,80-84 anni,totale,malattie del rene e dell'uretere
Centro,50-54 anni,maschi,cause sconosciute e non specificate
